abstain | verb | to choose not to do something | to choose not to do something
belong | verb | to be the rightful part of something | to be the rightful part of something
candidate | noun | a person being considered for a position or honor | a person being considered for a position or honor
debate | noun | a formal discussion of opposing ideas | a formal discussion of opposing ideas
elaborate | verb | to explain in greater detail | to explain in greater detail
feasible | adjective | possible to do successfully | possible to do successfully
generate | verb | to produce or create | to produce or create
habit | noun | a behavior repeated regularly | a behavior repeated regularly
identify | verb | to recognize and name | to recognize and name
judgment | noun | an opinion formed after careful thought | an opinion formed after careful thought
knowledge | noun | information and understanding gained through learning | information and understanding gained through learning
literature | noun | written works considered to have artistic value | written works considered to have artistic value
maintain | verb | to keep in good condition or continue | to keep in good condition or continue
navigate | verb | to plan and direct a route or way through something | to plan and direct a route or way through something
objective | adjective | based on facts rather than feelings | based on facts rather than feelings
participate | verb | to take part | to take part
qualify | verb | to meet required conditions | to meet required conditions
radical | adjective | very different from the usual or traditional | very different from the usual or traditional
schedule | noun | a plan showing times or order of activities | a plan showing times or order of activities
terminate | verb | to bring to an end | to bring to an end
ultimate | adjective | final or most important | final or most important
valid | adjective | supported by logic or evidence | supported by logic or evidence
widespread | adjective | existing or happening over a large area | existing or happening over a large area
xylem | noun | plant tissue that carries water from the roots upward | plant tissue that carries water from the roots upward
yearn | verb | to long deeply for something | to long deeply for something
zenith | noun | the highest point | the highest point
accelerate | verb | to cause to move faster | to cause to move faster
beneficial | adjective | producing a helpful result | producing a helpful result
characteristic | noun | a quality that helps identify someone or something | a quality that helps identify someone or something
declare | verb | to state clearly and officially | to state clearly and officially
eligible | adjective | meeting the needed conditions | meeting the needed conditions
flexible | adjective | able to bend or adjust easily | able to bend or adjust easily
genuine | adjective | truly what something is claimed to be | truly what something is claimed to be
habitat | noun | the natural environment of a living thing | the natural environment of a living thing
illustrate | verb | to explain or make clear with examples or pictures | to explain or make clear with examples or pictures
justify | verb | to show that something is reasonable or right | to show that something is reasonable or right
logical | adjective | based on clear reasoning | based on clear reasoning
mature | adjective | fully developed in mind or body | fully developed in mind or body
negotiate | verb | to discuss in order to reach an agreement | to discuss in order to reach an agreement
obtain | verb | to gain or get | to gain or get
perceive | verb | to become aware of through senses or thought | to become aware of through senses or thought
quantify | verb | to measure or express as an amount | to measure or express as an amount
react | verb | to respond to something | to respond to something
sensitive | adjective | easily affected or aware of slight changes | easily affected or aware of slight changes
theory | noun | an explanation supported by evidence | an explanation supported by evidence
undergo | verb | to experience something difficult or changing | to experience something difficult or changing
valuable | adjective | worth a great deal or very useful | worth a great deal or very useful
accumulate | verb | to gather little by little | to gather little by little
biology | noun | the study of living things | the study of living things
classify | verb | to arrange into groups by shared features | to arrange into groups by shared features
define | verb | to explain the meaning of something precisely | to explain the meaning of something precisely
emerge | verb | to come into view or become known | to come into view or become known
fluctuate | verb | to rise and fall irregularly | to rise and fall irregularly
graduate | verb | to complete a course of study and receive a diploma or degree | to complete a course of study and receive a diploma or degree
hazardous | adjective | dangerous | dangerous
immerse | verb | to involve deeply or put completely into something | to involve deeply or put completely into something
