attain | verb | to achieve, arrive at | to achieve, arrive at
buffet | verb | to strike with force | to strike with force
cerebral | adjective | related to the intellect | related to the intellect
dissent | verb | to disagree | to disagree
eminent | adjective | distinguished, prominent, famous | distinguished, prominent, famous
fidelity | noun | loyalty, devotion | loyalty, devotion
grievous | adjective | injurious, hurtful; serious or grave in nature | injurious, hurtful; serious or grave in nature
hiatus | noun | a break or gap in duration or continuity | a break or gap in duration or continuity
induce | verb | to bring about, stimulate | to bring about, stimulate
juxtaposition | noun | the act of placing two things side by side for comparison | the act of placing two things side by side for comparison
kudos | noun | praise for an achievement | praise for an achievement
libertarian | adjective | favoring liberty and limited government | favoring liberty and limited government
mitigate | verb | to make less violent, alleviate | to make less violent, alleviate
nominal | adjective | existing in name only; very small | existing in name only; very small
ominous | adjective | foreboding or foreshadowing evil | foreboding or foreshadowing evil
pathology | noun | the study of disease or an abnormal condition | the study of disease or an abnormal condition
quaint | adjective | charmingly old-fashioned | charmingly old-fashioned
reconcile | verb | to return to harmony | to return to harmony
speculative | adjective | not based in fact | not based in fact
tedious | adjective | dull, boring | dull, boring
ubiquitous | adjective | existing everywhere, widespread | existing everywhere, widespread
vigilant | adjective | watchful, alert | watchful, alert
whimsical | adjective | fanciful, full of whims | fanciful, full of whims
xenon | noun | a colorless gaseous element used in some lamps | a colorless gaseous element used in some lamps
yen | noun | a strong desire or craving | a strong desire or craving
zealous | adjective | showing great energy and enthusiasm | showing great energy and enthusiasm
abide | verb | to put up with | to put up with
benign | adjective | favorable, not threatening, mild | favorable, not threatening, mild
caucus | noun | a meeting usually held by people working toward the same goal | a meeting usually held by people working toward the same goal
dialect | noun | a variation of a language | a variation of a language
emulate | verb | to imitate | to imitate
feral | adjective | wild, savage | wild, savage
grandiose | adjective | on a magnificent or exaggerated scale | on a magnificent or exaggerated scale
heinous | adjective | shockingly wicked, repugnant | shockingly wicked, repugnant
innate | adjective | inborn, native, inherent | inborn, native, inherent
judicious | adjective | having or exercising sound judgment | having or exercising sound judgment
knell | noun | the solemn sound of a bell, often indicating a death | the solemn sound of a bell, often indicating a death
lavish | adjective | given without limits | given without limits
myriad | adjective | consisting of a very great number | consisting of a very great number
novice | noun | a beginner, someone without training or experience | a beginner, someone without training or experience
oblivious | adjective | lacking consciousness or awareness of something | lacking consciousness or awareness of something
pragmatic | adjective | practical | practical
quell | verb | to control or diffuse a potentially explosive situation | to control or diffuse a potentially explosive situation
resilient | adjective | able to recover from misfortune; able to withstand adversity | able to recover from misfortune; able to withstand adversity
sublime | adjective | lofty, grand, exalted | lofty, grand, exalted
terrestrial | adjective | relating to the land | relating to the land
utopia | noun | an imaginary and remote place of perfection | an imaginary and remote place of perfection
venerable | adjective | deserving of respect because of age or achievement | deserving of respect because of age or achievement
wanton | adjective | undisciplined, lewd, lustful | undisciplined, lewd, lustful
adhere | verb | to stick firmly or remain attached | to stick firmly or remain attached
boon | noun | a gift or blessing | a gift or blessing
constituent | noun | an essential part | an essential part
dubious | adjective | doubtful, of uncertain quality | doubtful, of uncertain quality
encore | noun | an extra performance requested by an audience | an extra performance requested by an audience
fathom | verb | to understand, comprehend | to understand, comprehend
gratuitous | adjective | uncalled for, unwarranted | uncalled for, unwarranted
hegemony | noun | domination over others | domination over others
injunction | noun | an order of official warning | an order of official warning
jubilant | adjective | extremely joyful, happy | extremely joyful, happy
lucid | adjective | clear, easily understandable | clear, easily understandable
mundane | adjective | concerned with the world rather than with heaven, commonplace | concerned with the world rather than with heaven, commonplace
negligent | adjective | habitually careless, neglectful | habitually careless, neglectful
oblique | adjective | diverging from a straight line or course, not straightforward | diverging from a straight line or course, not straightforward
pinnacle | noun | the highest point | the highest point
quagmire | noun | a difficult situation | a difficult situation
reputable | adjective | of good reputation | of good reputation
soluble | adjective | able to dissolve | able to dissolve
transient | adjective | passing through briefly; passing into and out of existence | passing through briefly; passing into and out of existence
uncanny | adjective | of supernatural character or origin | of supernatural character or origin
vocation | noun | the work in which someone is employed, profession | the work in which someone is employed, profession
wane | verb | to decrease in size, dwindle | to decrease in size, dwindle
ambiguous | adjective | uncertain, variably interpretable | uncertain, variably interpretable
ballad | noun | a love song | a love song
combustion | noun | the act or process of burning | the act or process of burning
deter | verb | to discourage, prevent from doing | to discourage, prevent from doing
eclectic | adjective | consisting of a diverse variety of elements | consisting of a diverse variety of elements
frivolous | adjective | of little importance, trifling | of little importance, trifling
guile | noun | deceitful, cunning, sly behavior | deceitful, cunning, sly behavior
heterogeneous | adjective | varied, diverse in character | varied, diverse in character
implicit | adjective | understood but not outwardly obvious, implied | understood but not outwardly obvious, implied
latent | adjective | hidden, but capable of being exposed | hidden, but capable of being exposed
maverick | noun | an independent, nonconformist person | an independent, nonconformist person
nocturnal | adjective | relating to or occurring during the night | relating to or occurring during the night
ornate | adjective | highly elaborate, excessively decorated | highly elaborate, excessively decorated
punitive | adjective | involving punishment | involving punishment
quandary | noun | a perplexed, unresolvable state | a perplexed, unresolvable state
relish | verb | to enjoy | to enjoy
solvent | noun | a substance that can dissolve other substances | a substance that can dissolve other substances
tome | noun | a large book | a large book
utilitarian | adjective | relating to or aiming at usefulness | relating to or aiming at usefulness
vehemently | adverb | marked by intense force or emotion | marked by intense force or emotion
wily | adjective | crafty, sly | crafty, sly
alleviate | verb | to relieve, make more bearable | to relieve, make more bearable
bourgeois | noun | a middle-class person, capitalist | a middle-class person, capitalist
cumulative | adjective | increasing, building upon itself | increasing, building upon itself
dormant | adjective | sleeping, temporarily inactive | sleeping, temporarily inactive
ecstatic | adjective | intensely and overpoweringly happy | intensely and overpoweringly happy
fortitude | noun | strength, guts | strength, guts
genial | adjective | friendly, affable | friendly, affable
harrowing | adjective | greatly distressing, vexing | greatly distressing, vexing
illicit | adjective | forbidden, not permitted | forbidden, not permitted
