abate	to reduce, lessen
abdicate	to give up a position, usually one of leadership
abduct	to kidnap, take by force
abhor	to hate, detest
abide	to put up with
abstain	to choose not to do something
accelerate	to cause to move faster
accentuate	to stress, highlight
accretion	slow growth in size or amount
accumulate	to gather little by little
adapt	to adjust to new conditions
adequate	enough for a specific need
adhere	to stick firmly or remain attached
adulation	extreme praise
advocate	to speak or argue in favor of
affable	friendly, amiable
alias	a false name or identity
allay	to soothe, ease
alleviate	to relieve, make more bearable
ambiguous	uncertain, variably interpretable
amend	to change something in order to improve it
amenity	an item that increases comfort
amorous	showing love, particularly sexual
anachronistic	being out of correct chronological order
analgesic	something that reduces pain
anathema	something or someone greatly hated
annex	to incorporate territory or space
anomaly	something that does not fit into the normal order
anthology	a selected collection of writings, songs, etc.
anticipate	to expect or prepare for something ahead of time
antipathy	a strong dislike, repugnance
apocryphal	fictitious, false, wrong
apologize	to express regret for a mistake or offense
appalling	inspiring shock, horror, disgust
appreciate	to recognize the value of something
arbitrary	based on chance or personal choice rather than reason
ascribe	to regard as caused by
aspire	to long for, aim toward
assuage	to ease, pacify
attain	to achieve, arrive at
attitude	a way of thinking or feeling about something
audible	able to be heard
authentic	real and genuine rather than copied
authority	the power or right to give orders or make decisions
automatic	working by itself with little direct control
available	ready for use or able to be obtained
balk	to stop, block abruptly
ballad	a love song
banal	dull, commonplace
bane	a burden
bard	a poet, often a singer as well
bashful	shy, excessively timid
beguile	to trick, deceive
behemoth	something of tremendous power or size
belong	to be the rightful part of something
beneficial	producing a helpful result
benevolent	marked by goodness or doing good
benign	favorable, not threatening, mild
bequeath	to pass on, give
berate	to scold vehemently
bereft	deprived of something needed or valued
beseech	to beg, plead, implore
bilk	cheat, defraud
biology	the study of living things
blight	a plague, disease
bombastic	excessively confident, pompous
boon	a gift or blessing
bourgeois	a middle-class person, capitalist
boycott	to refuse to buy or support something as a protest
brazen	excessively bold, brash
brilliance	exceptional intelligence or great skill
brusque	short, abrupt, dismissive
buffet	to strike with force
burnish	to polish, shine
buttress	to support, hold up
cacophony	tremendous noise, disharmonious sound
calibrate	to set, standardize
candidate	a person being considered for a position or honor
candor	honest and open expression
capricious	subject to whim, fickle
catalyze	to charge, inspire
caucus	a meeting usually held by people working toward the same goal
cerebral	related to the intellect
characteristic	a quality that helps identify someone or something
chastise	to criticize severely
cherish	to feel or show affection toward something
choreography	the arrangement of dances
circumscribed	marked off, bounded
clairvoyant	able to perceive things that normal people cannot
clamor	loud noise
classify	to arrange into groups by shared features
coalesce	to fuse into a whole
cogent	intellectually convincing
collective	done or shared by people acting as a group
combustion	the act or process of burning
communicate	to share information, thoughts, or feelings
comparison	the act of examining how things are alike or different
compatible	able to exist or work well together
compensate	to make up for loss, harm, or lack
compete	to try to do better than others
complicate	to make something more difficult
compromise	an agreement in which each side gives up something
conceal	to keep something hidden
concede	to accept as valid
concentrate	to focus attention or effort
concept	a general idea
concern	a feeling of worry or an important matter
conciliatory	friendly, agreeable
concise	brief and direct in expression
conclude	to decide after thinking or observing
concomitant	accompanying in a subordinate fashion
concord	harmonious agreement
condemn	to strongly criticize as wrong
condolence	an expression of sympathy in sorrow
conduct	to organize and direct an activity
confident	sure of oneself or a result
confirm	to show that something is true or certain
conflagration	great fire
conflict	a serious disagreement or struggle
conform	to follow accepted rules or patterns
conformist	one who behaves the same as others
confound	to frustrate, confuse
congenial	pleasantly agreeable
conscious	aware of oneself and one's surroundings
consequence	a result that follows from an action
conserve	to protect from waste or loss
consistent	acting or happening in the same way over time
consolation	an act of comforting
constituent	an essential part
construct	to build or form by putting parts together
consult	to seek advice or information
consume	to use up completely
context	the words or situation surrounding something
contrast	to show how things differ
contribute	to give or add something as part of a larger effort
convert	to change from one form or purpose to another
convince	to persuade someone to believe or do something
cooperate	to work together for a shared purpose
coordinate	to organize different parts so they work together
covert	secretly engaged in
credible	able to be believed
crucial	extremely important
