anathema | noun | something or someone greatly hated | something or someone greatly hated
bereft | adjective | deprived of something needed or valued | deprived of something needed or valued
candor | noun | honest and open expression | honest and open expression
demarcation | noun | a dividing line or boundary | a dividing line or boundary
extraneous | adjective | not essential; coming from outside | not essential; coming from outside
flabbergasted | adjective | extremely surprised | extremely surprised
gourmand | noun | a person who enjoys eating richly and often too much | a person who enjoys eating richly and often too much
hackneyed | adjective | overused and unoriginal | overused and unoriginal
iridescent | adjective | showing shifting rainbow colors | showing shifting rainbow colors
jocular | adjective | fond of joking; playful | fond of joking; playful
kismet | noun | fate or destiny | fate or destiny
lithe | adjective | bending easily; graceful | bending easily; graceful
modulate | verb | to adjust or regulate | to adjust or regulate
nondescript | adjective | lacking a distinctive character | lacking a distinctive character
oscillate | verb | to swing back and forth | to swing back and forth
propriety | noun | proper behavior or good manners | proper behavior or good manners
quixotic | adjective | exceedingly idealistic and unrealistic | exceedingly idealistic and unrealistic
rancid | adjective | having a terrible taste or smell | having a terrible taste or smell
sensuous | adjective | involving sensory gratification | involving sensory gratification
tangential | adjective | incidental, peripheral, divergent | incidental, peripheral, divergent
umbrage | noun | resentment, offense | resentment, offense
vivacious | adjective | lively, sprightly | lively, sprightly
winsome | adjective | charming, pleasing | charming, pleasing
xenophobia | noun | fear or hatred of strangers or foreigners | fear or hatred of strangers or foreigners
yoke | verb | to join together or bind | to join together or bind
zephyr | noun | a soft gentle breeze | a soft gentle breeze
accretion | noun | slow growth in size or amount | slow growth in size or amount
beseech | verb | to beg, plead, implore | to beg, plead, implore
calibrate | verb | to set, standardize | to set, standardize
disaffected | adjective | rebellious, resentful of authority | rebellious, resentful of authority
elude | verb | to evade, escape | to evade, escape
frenetic | adjective | frenzied, hectic, frantic | frenzied, hectic, frantic
garrulous | adjective | talkative, wordy | talkative, wordy
harangue | noun | a ranting speech | a ranting speech
indomitable | adjective | not capable of being conquered | not capable of being conquered
laconic | adjective | terse in speech or writing | terse in speech or writing
modicum | noun | a small amount of something | a small amount of something
neophyte | noun | someone who is young or inexperienced | someone who is young or inexperienced
ostracism | noun | exclusion from a group | exclusion from a group
panacea | noun | a remedy for all ills or difficulties | a remedy for all ills or difficulties
quotidian | adjective | daily | daily
reciprocate | verb | to give in return | to give in return
sanguine | adjective | optimistic, cheery | optimistic, cheery
trepidation | noun | fear, apprehension | fear, apprehension
unctuous | adjective | smooth or greasy in texture, appearance, manner | smooth or greasy in texture, appearance, manner
variegated | adjective | diversified, distinctly marked | diversified, distinctly marked
wizened | adjective | dry, shrunken, wrinkled | dry, shrunken, wrinkled
amorous | adjective | showing love, particularly sexual | showing love, particularly sexual
balk | verb | to stop, block abruptly | to stop, block abruptly
capricious | adjective | subject to whim, fickle | subject to whim, fickle
disheartened | adjective | feeling a loss of spirit or morale | feeling a loss of spirit or morale
erudite | adjective | learned | learned
fortuitous | adjective | happening by chance, often lucky or fortunate | happening by chance, often lucky or fortunate
hedonist | noun | one who believes pleasure should be the primary pursuit of humans | one who believes pleasure should be the primary pursuit of humans
incisive | adjective | clear, sharp, direct | clear, sharp, direct
linchpin | noun | something that holds separate parts together | something that holds separate parts together
maelstrom | noun | a destructive whirlpool which rapidly sucks in objects | a destructive whirlpool which rapidly sucks in objects
noisome | adjective | unpleasant, offensive, especially to the sense of smell | unpleasant, offensive, especially to the sense of smell
obfuscate | verb | to render incomprehensible | to render incomprehensible
placate | verb | to ease the anger of, soothe | to ease the anger of, soothe
querulous | adjective | whiny, complaining | whiny, complaining
reclusive | adjective | solitary, shunning society | solitary, shunning society
serendipity | noun | luck, finding good things without looking for them | luck, finding good things without looking for them
tortuous | adjective | winding | winding
undulate | verb | to move in waves | to move in waves
vicarious | adjective | experiencing through another | experiencing through another
accentuate | verb | to stress, highlight | to stress, highlight
buttress | verb | to support, hold up | to support, hold up
condolence | noun | an expression of sympathy in sorrow | an expression of sympathy in sorrow
